period,topic_id,keywords,count_lowi,count_uvnl,n_lowi,n_uvnl,freq_lowi,freq_uvnl,G,p,log2_odds_ratio,preferred,p_bonferroni,significant
overall,0,"verzoeker, belanghebbende, 2018, 2016, 2017",25,0,191,163,0.13089005235602094,0.0,25.410387314187084,4.634161315117049e-07,5.646193800398316,lowi,1.3439067813839442e-05,True
overall,1,"beklaagden, datum, partij, zegt, ngwi",0,22,191,163,0.0,0.13496932515337423,28.689838742260587,8.494829467719561e-08,-5.9283954354227495,uvnl,2.4635005456386726e-06,True
overall,2,"2014, plagiaat, 2012, 2013, klacht klager",16,2,191,163,0.08376963350785341,0.012269938650306749,8.228777537932169,0.0041231293177832725,2.602529158860455,lowi,0.11957075021571491,False
overall,3,"beklaagden, tu, resultaten, art, cvb",0,17,191,163,0.0,0.10429447852760736,20.768744275530267,5.182185754766551e-06,-5.515726744447676,uvnl,0.00015028338688822997,True
overall,4,"universiteit utrecht, utrecht, klagers, project, manuscript",0,15,191,163,0.0,0.09202453987730061,17.69636481365238,2.5912132348418122e-05,-5.321077771511066,uvnl,0.0007514518381041256,True
overall,5,"verweerder, verzoeker, maastricht, universiteit maastricht, aanvankelijk oordeel",12,3,191,163,0.06282722513089005,0.018404907975460124,3.1586117741981337,0.07552738401031539,1.6750907210163726,lowi,1.0,False
overall,6,"belanghebbende, verzoeker, belanghebbenden, 2016, 2015",13,0,191,163,0.06806282722513089,0.0,10.747487049586063,0.0010442101430010867,4.628254063632451,lowi,0.030282094147031514,True
overall,7,"verzoeker, persbericht, verzoekers, aanvankelijk oordeel, scriptie",12,0,191,163,0.06282722513089005,0.0,9.609290510197988,0.0019359542421639498,4.509162981449756,lowi,0.056142673022754545,False
overall,8,"plagiaat, passages, boek, 2014, bronvermelding",0,12,191,163,0.0,0.0736196319018405,13.210386577798436,0.0002784019428615749,-4.981882788226731,uvnl,0.008073656342985671,True
overall,9,"belanghebbende, verzoeker, 2015, open brief, open",12,0,191,163,0.06282722513089005,0.0,9.609290510197988,0.0019359542421639498,4.509162981449756,lowi,0.056142673022754545,False
overall,10,"verzoeker, rivm, buitenlandse, factsheet, verzoekers",11,0,191,163,0.05759162303664921,0.0,8.489236096627975,0.0035725377765688042,4.380853754667925,lowi,0.10360359552049532,False
overall,11,"the, beklaagden, 2013, boek, passages",0,11,191,163,0.0,0.06748466257668712,11.75319877529241,0.0006073876181987496,-4.852097105531722,uvnl,0.017614240927763737,True
overall,12,"beklaagden, 2018, databases, bijlage, radboud",0,10,191,163,0.0,0.06134969325153374,10.318478345529384,0.001317048337203904,-4.711423159333538,uvnl,0.038194401778913215,True
overall,13,"verzoeker, verzoekers, proefschrift, aanvankelijk oordeel, vu",10,0,191,163,0.05235602094240838,0.0,7.389626847277078,0.006560109691657091,4.241638510281092,lowi,0.19024318105805563,False
overall,14,"verzoeker, verzoekers, redactie, universiteit leiden, legal",8,2,191,163,0.041884816753926704,0.012269938650306749,1.6882281524279237,0.1938347024319055,1.581288848213689,lowi,1.0,False
overall,15,"dr, prof, prof dr, verweerder, rector",10,0,191,163,0.05235602094240838,0.0,7.389626847277078,0.006560109691657091,4.241638510281092,lowi,0.19024318105805563,False
overall,16,"klaagster, 2013, klagers, 2012, vertrouwenspersoon",9,0,191,163,0.04712041884816754,0.0,6.3134747768309,0.011982377542701194,4.089321685174289,lowi,0.34748894873833464,False
